         80437130 function calls (78149436 primitive calls) in 209.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33739    1.022    0.000   11.422    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:301(__init__)
     1217    0.971    0.001    0.971    0.001 {method 'searchsorted' of 'numpy.ndarray' objects}
472080/8957    0.948    0.000    2.073    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:128(deepcopy)
281455/281437    0.943    0.000    1.856    0.000 {built-in method builtins.any}
  2320019    0.926    0.000    0.927    0.000 {method 'items' of 'dict' objects}
   201502    0.896    0.000    1.523    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1887(__init__)
    87637    0.868    0.000    0.869    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:152(__init__)
   381860    0.866    0.000    1.220    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:2020(_setattr_cm)
    20281    0.827    0.000    0.845    0.000 {built-in method matplotlib.ft2font.load_glyph}
102519/52455    0.781    0.000    2.399    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2432(get_affine)
    15530    0.771    0.000    5.342    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:358(_get_layout)
    85475    0.739    0.000    0.739    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    22227    0.715    0.000    1.655    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2589(delta)
  3450355    0.707    0.000    0.710    0.000 {method 'get' of 'dict' objects}
      690    0.702    0.001    0.708    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:888(__call__)
267776/267690    0.685    0.000    1.633    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:66(copy)
    76211    0.673    0.000    3.649    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:179(__init__)
    20441    0.666    0.000   10.916    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:758(draw)
   978780    0.653    0.000    0.870    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\weakref.py:451(get)
    10013    0.653    0.000    0.653    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   192515    0.648    0.000    2.119    0.000 {built-in method builtins.sorted}
     1596    0.632    0.000    0.632    0.000 {method 'encode' of 'ImagingEncoder' objects}
    22994    0.597    0.000    3.090    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:686(recache)
   114461    0.593    0.000    0.779    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:95(_fill)
     2372    0.592    0.000    0.597    0.000 {built-in method matplotlib.ft2font.set_text}
   150910    0.591    0.000    0.591    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:1791(<dictcomp>)
   191046    0.568    0.000    0.862    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
412904/412550    0.551    0.000    0.591    0.000 {built-in method numpy.asarray}
94460/47740    0.530    0.000    1.724    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\units.py:164(get_converter)
      510    0.522    0.001    0.534    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\image.py:219(_rgb_to_rgba)
   138062    0.520    0.000    1.098    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:750(__init__)
   120406    0.508    0.000    0.748    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:700(__hash__)
    16905    0.470    0.000    0.553    0.000 {built-in method matplotlib._path.convert_to_string}
   186072    0.462    0.000    1.726    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:278(to_rgba)
       84    0.460    0.005    0.460    0.005 {resize}
    24972    0.457    0.000    7.814    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:539(<genexpr>)
     1020    0.456    0.000    0.552    0.001 {built-in method matplotlib._image.resample}
  1513473    0.446    0.000    0.446    0.000 {function RcParams.__getitem__ at 0x0000029CECA3FBA0}
    81850    0.439    0.000    0.439    0.000 {built-in method matplotlib._path.affine_transform}
     1020    0.438    0.000    0.438    0.000 {method 'getcolors' of 'ImagingCore' objects}
    24972    0.436    0.000    0.440    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:319(<genexpr>)
   196789    0.400    0.000    0.458    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:104(__init__)
18614/6542    0.399    0.000    4.917    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1195(_set_lim)
     7079    0.397    0.000   10.358    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:59(__init__)
61791/52071    0.386    0.000    1.992    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
    71458    0.381    0.000    0.808    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:38(_wrapit)
109175/109091    0.381    0.000    1.176    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:259(_reconstruct)
  1188766    0.379    0.000    0.390    0.000 {built-in method builtins.hasattr}
   801302    0.376    0.000    0.706    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:63(__iter__)
1705563/1650619    0.352    0.000    0.400    0.000 {built-in method builtins.len}
    27429    0.345    0.000    3.228    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\patches.py:800(get_patch_transform)
      690    0.337    0.000    1.084    0.002 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:1196(__call__)
    62502    0.334    0.000    0.502    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:3015(_update_from)
     2450    0.334    0.000    0.334    0.000 {built-in method nt.stat}
   390698    0.331    0.000    2.380    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:414(pchanged)
   218825    0.330    0.000    0.930    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:102(_stale_axes_callback)
      756    0.329    0.000    0.466    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\skimage\measure\_find_contours.py:10(find_contours)
     7224    0.323    0.000    0.393    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\cycler\__init__.py:416(by_key)
462390/442964    0.320    0.000    2.237    0.000 {built-in method builtins.next}
    81477    0.319    0.000    0.466    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2041(scale)
    31880    0.318    0.000    0.444    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2838(nonsingular)
     6370    0.314    0.000    2.293    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\ticker.py:2159(_raw_ticks)
   396965    0.311    0.000    0.438    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_function_base_impl.py:363(iterable)
    87637    0.309    0.000    1.178    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:259(__init__)
    25782    0.303    0.000    0.386    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_shape_base_impl.py:625(column_stack)
    12486    0.298    0.000    9.865    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:396(_plot_args)
   464333    0.295    0.000    0.444    0.000 {built-in method _abc._abc_instancecheck}
    26102    0.293    0.000    2.846    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:157(_reset_visual_defaults)
   252141    0.292    0.000    0.534    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:219(_is_nth_color)
    90698    0.292    0.000    3.978    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
   360315    0.287    0.000    0.287    0.000 {method 'match' of 're.Pattern' objects}
    30372    0.275    0.000    0.348    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:1154(get_default_size)
    15554    0.271    0.000    0.287    0.000 {built-in method matplotlib._path.update_path_extents}
    56808    0.269    0.000    5.705    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\markers.py:299(_set_marker)
    11061    0.267    0.000    6.196    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:738(draw)
    43337    0.264    0.000    0.456    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1973(rotate)
 44909/45    0.259    0.000   57.416    1.276 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:53(draw_wrapper)
26910/23874    0.259    0.000    1.906    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1109(get_points)
    32120    0.258    0.000    1.296    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:2624(_process_unit_info)
    24842    0.257    0.000    5.347    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:784(set_clip_path)
    90252    0.256    0.000    6.153    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:872(output)
    60439    0.254    0.000    2.619    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:890(<dictcomp>)
    85136    0.254    0.000    1.298    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2342(__init__)
196789/191934    0.253    0.000    1.151    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:141(__exit__)
  1043054    0.252    0.000    0.252    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:292(axes)
   746356    0.250    0.000    0.250    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:891(<genexpr>)
   234931    0.249    0.000    1.732    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:156(invalidate)
   119432    0.249    0.000    0.696    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:2368(_unpack_to_numpy)
   105302    0.248    0.000    0.337    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\descriptors\sequence.py:24(__set__)
    55597    0.247    0.000    0.626    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:876(set_size)
   128066    0.246    0.000    0.620    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1309(set_ydata)
   154183    0.243    0.000    2.463    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:871(get_siblings)
   260272    0.236    0.000    0.365    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\enum.py:669(__call__)
     4715    0.234    0.000    0.476    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\numeric.py:2371(isclose)
    33819    0.234    0.000    0.511    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1158(set_linestyle)
   464333    0.233    0.000    0.676    0.000 <frozen abc>:117(__instancecheck__)
   185810    0.232    0.000    1.533    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:596(write)
  1156182    0.231    0.000    0.231    0.000 {method 'append' of 'list' objects}
    21942    0.227    0.000    4.689    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:104(__init__)
    36084    0.226    0.000    0.707    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backend_bases.py:680(__init__)
    97389    0.224    0.000    1.666    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2499(composite_transform_factory)
   197703    0.220    0.000    0.326    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\descriptors\base.py:39(__set__)
    88909    0.220    0.000    0.943    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:66(_wrapreduction)
     4713    0.219    0.000   14.134    0.003 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1276(_update_ticks)
    58301    0.217    0.000    1.455    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:805(from_extents)
   196789    0.216    0.000    0.674    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:284(helper)
       85    0.214    0.003    2.847    0.033 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\reader\strings.py:10(read_string_table)
   313702    0.213    0.000    0.296    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\enum.py:188(__get__)
   101221    0.213    0.000    0.432    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1217(_set_markercolor)
    90252    0.211    0.000    3.733    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:873(<listcomp>)
44883/30406    0.211    0.000    1.891    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:366(bounds)
     2566    0.210    0.000    0.385    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:1050(__call__)
     3084    0.209    0.000    0.380    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_arraysetops_impl.py:806(_isin)
    37896    0.208    0.000    0.941    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:147(check_shape)
   131948    0.207    0.000    0.207    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   194623    0.204    0.000    0.204    0.000 {method 'write' of '_io.BufferedWriter' objects}
    18509    0.204    0.000    0.435    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:325(_to_rgba_no_colorcycle)
    12370    0.204    0.000    4.564    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:926(get_window_extent)
26577/8915    0.201    0.000    2.022    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:227(_deepcopy_dict)
114716/109616    0.200    0.000    6.086    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:1237(set)
   152073    0.199    0.000    0.391    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:65(_stale_figure_callback)
    26738    0.198    0.000    0.927    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:2872(__new__)
    32561    0.197    0.000    1.023    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:656(__init__)
540731/539471    0.196    0.000    0.482    0.000 {built-in method builtins.setattr}
     3857    0.196    0.000    3.610    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2330(draw_text)
    47977    0.196    0.000    3.164    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\markers.py:250(_recache)
    12152    0.194    0.000    1.763    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:302(_apply_params)
      510    0.192    0.000    3.094    0.006 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\image.py:337(_make_image)
    94460    0.186    0.000    0.439    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:1705(_safe_first_finite)
    36366    0.177    0.000    1.497    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\path.py:99(__init__)
196789/191934    0.173    0.000    1.451    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
32436/28316    0.170    0.000    0.348    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\spines.py:346(get_spine_transform)
81850/79317    0.164    0.000    0.827    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1849(transform_affine)
    91513    0.163    0.000    0.199    0.000 {method '__reduce_ex__' of 'object' objects}
    35351    0.161    0.000    2.376    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1473(transform)
    45419    0.160    0.000    0.406    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:711(_get_axis_name)
    64844    0.160    0.000    0.437    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1290(set_xdata)
     4080    0.160    0.000    1.018    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:2254(__call__)
    39268    0.159    0.000    0.489    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:3733(_validate_converted_limits)
146777/95077    0.157    0.000    0.505    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2371(_invalidate_internal)
114716/109616    0.156    0.000    6.237    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:146(<lambda>)
229618/229615    0.156    0.000    0.156    0.000 {built-in method __new__ of type object at 0x00007FFD414E8F90}
    32751    0.155    0.000    2.891    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
    82080    0.155    0.000    0.468    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\units.py:56(_is_natively_supported)
60439/59215    0.155    0.000    3.174    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:887(_unstale_viewLim)
    22227    0.155    0.000    5.699    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:1961(check_gc)
   784637    0.154    0.000    0.154    0.000 {method 'values' of 'dict' objects}
    23575    0.154    0.000    1.159    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_text_helpers.py:46(layout)
