         80437130 function calls (78149436 primitive calls) in 209.967 seconds

   Ordered by: cumulative time
   List reduced from 5514 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    1.148    0.027  119.596    2.848 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\PG_simulations_func.py:58(PG_simulationv6)
       45    0.001    0.000   57.716    1.283 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2725(savefig)
       45    0.002    0.000   57.716    1.283 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:3334(savefig)
       45    0.003    0.000   57.571    1.279 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backend_bases.py:2051(print_figure)
       45    0.000    0.000   57.485    1.277 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backend_bases.py:2042(<lambda>)
       45    0.002    0.000   57.484    1.277 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2770(print_pdf)
       45    0.000    0.000   57.416    1.276 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:92(draw_wrapper)
 44909/45    0.259    0.000   57.416    1.276 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:53(draw_wrapper)
       45    0.002    0.000   57.415    1.276 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:3237(draw)
  1077/45    0.076    0.000   56.145    1.248 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\image.py:116(_draw_list_compositing_images)
     1032    0.055    0.000   55.008    0.053 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:3161(draw)
       42    5.932    0.141   43.685    1.040 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:235(generate_synthetic_image)
       42   25.687    0.612   27.357    0.651 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:213(approx_poisson)
     1032    0.078    0.000   21.722    0.021 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:615(__init__)
       42    0.119    0.003   19.805    0.472 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:107(PG_coor_mask)
       45    0.001    0.000   19.405    0.431 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\pyplot.py:1621(subplots)
       42   17.178    0.409   17.183    0.409 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:60(create_circular_mask_multiple)
    12486    0.137    0.000   16.767    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_axes.py:1532(plot)
     1032    0.004    0.000   14.598    0.014 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:1445(clear)
     1032    0.096    0.000   14.595    0.014 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:1313(__clear)
     1032    0.036    0.000   14.322    0.014 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:3090(_update_title_position)
     4713    0.219    0.000   14.134    0.003 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1276(_update_ticks)
     7079    0.040    0.000   13.945    0.002 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1585(_get_tick)
      515    0.016    0.000   13.330    0.026 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1337(get_tightbbox)
     1048    0.039    0.000   11.762    0.011 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1396(draw)
      510    0.007    0.000   11.442    0.022 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\axes_divider.py:419(append_axes)
    33739    1.022    0.000   11.422    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:301(__init__)
      510    0.008    0.000   11.267    0.022 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\axes_divider.py:369(new_horizontal)
      510    0.005    0.000   11.234    0.022 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\axes_divider.py:362(_get_new_axes)
       45    0.001    0.000   11.201    0.249 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:785(subplots)


