         80187911 function calls (77911086 primitive calls) in 239.023 seconds

   Ordered by: internal time
   List reduced from 5516 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42   27.679    0.659   29.463    0.701 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:213(approx_poisson)
       42   18.583    0.442   18.589    0.443 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:60(create_circular_mask_multiple)
10911/10910   16.884    0.002   16.946    0.002 {method 'call' of '_tkinter.tkapp' objects}
       42    8.266    0.197    8.266    0.197 {GaussianBlur}
       46    7.244    0.157    7.244    0.157 {built-in method _tkinter.create}
       42    6.326    0.151   46.981    1.119 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:235(generate_synthetic_image)
   270295    5.916    0.000    5.916    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   270906    3.936    0.000    4.932    0.000 {built-in method numpy.array}
     7414    2.853    0.000    2.874    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\weakref.py:46(__new__)
177247/172147    2.654    0.000   10.159    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:1188(_update_props)
     1014    2.483    0.002    2.596    0.003 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_agg.py:63(__init__)
6203381/6201794    2.296    0.000    3.097    0.000 {built-in method builtins.isinstance}
      420    2.103    0.005    2.137    0.005 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\synthetic_image_generator.py:29(create_circular_mask)
    37909    2.058    0.000    2.058    0.000 {method 'astype' of 'numpy.ndarray' objects}
    37794    1.907    0.000    2.108    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:147(check_shape)
     1670    1.669    0.001    1.669    0.001 {method 'take' of 'numpy.ndarray' objects}
4291735/4291691    1.570    0.000    3.736    0.000 {built-in method builtins.getattr}
   179332    1.554    0.000    1.554    0.000 {method 'compress' of 'zlib.Compress' objects}
464132/377693    1.546    0.000    4.215    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:299(pdfRepr)
      828    1.508    0.002    1.510    0.002 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
   530805    1.495    0.000    1.495    0.000 {method 'copy' of 'numpy.ndarray' objects}
997288/234457    1.414    0.000    1.652    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:165(_invalidate_internal)
   780889    1.412    0.000    1.914    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
  1507849    1.317    0.000    2.759    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\__init__.py:781(__getitem__)
       42    1.285    0.031  129.098    3.074 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\PG_simulations_func.py:58(PG_simulationv6)
     1217    1.234    0.001    1.234    0.001 {method 'searchsorted' of 'numpy.ndarray' objects}
    49088    1.229    0.000    1.870    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:3040(__array_finalize__)
2206525/1836313    1.186    0.000    2.013    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:315(stale)
   150476    1.183    0.000    2.030    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:1752(normalize_kwargs)
       42    1.153    0.027    1.153    0.027 {built-in method numpy.fromfile}


