         80187911 function calls (77911086 primitive calls) in 239.023 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   780889    1.412    0.000    1.914    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
  1507849    1.317    0.000    2.759    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\__init__.py:781(__getitem__)
       42    1.285    0.031  129.098    3.074 C:\Users\MaximilienVERDIER-PA\Mes documents\Programmation\PG_simulation\PG_simulations_func.py:58(PG_simulationv6)
     1217    1.234    0.001    1.234    0.001 {method 'searchsorted' of 'numpy.ndarray' objects}
    49088    1.229    0.000    1.870    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:3040(__array_finalize__)
2206525/1836313    1.186    0.000    2.013    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:315(stale)
   150476    1.183    0.000    2.030    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:1752(normalize_kwargs)
       42    1.153    0.027    1.153    0.027 {built-in method numpy.fromfile}
410918/408878    1.106    0.000    2.497    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:348(process)
    33595    1.102    0.000   10.897    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:301(__init__)
464400/8813    1.047    0.000    2.312    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:128(deepcopy)
      690    1.017    0.001    1.023    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:888(__call__)
  1507856    0.968    0.000    1.442    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\__init__.py:701(_get)
    24972    0.961    0.000    7.277    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:539(<genexpr>)
102265/52225    0.960    0.000    2.350    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2432(get_affine)
    20159    0.951    0.000    0.972    0.000 {built-in method matplotlib.ft2font.load_glyph}
   380378    0.915    0.000    1.329    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:2020(_setattr_cm)
    20294    0.859    0.000   13.906    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:758(draw)
   195999    0.859    0.000    0.921    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:104(__init__)
    15318    0.848    0.000    5.906    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:358(_get_layout)
  2311886    0.845    0.000    0.846    0.000 {method 'items' of 'dict' objects}
    22111    0.845    0.000    2.031    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2589(delta)
     1596    0.824    0.001    0.824    0.001 {method 'encode' of 'ImagingEncoder' objects}
   196709    0.810    0.000    0.874    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:180(set_children)
    85315    0.791    0.000    0.791    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  3428656    0.773    0.000    0.776    0.000 {method 'get' of 'dict' objects}
   658027    0.772    0.000    0.772    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:109(__init__)
265605/265519    0.751    0.000    1.810    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:66(copy)
    75923    0.751    0.000    1.964    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:179(__init__)
   113765    0.725    0.000    0.952    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:95(_fill)
    87349    0.717    0.000    0.806    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:259(__init__)
   192518    0.714    0.000    2.295    0.000 {built-in method builtins.sorted}
   978780    0.696    0.000    0.932    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\weakref.py:451(get)
    10016    0.669    0.000    0.669    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   190803    0.669    0.000    0.969    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
     2347    0.668    0.000    0.674    0.000 {built-in method matplotlib.ft2font.set_text}
    22897    0.657    0.000    5.242    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:686(recache)
411773/411419    0.640    0.000    0.683    0.000 {built-in method numpy.asarray}
   378775    0.621    0.000    1.207    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1770(__init__)
   150476    0.621    0.000    0.621    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:1791(<dictcomp>)
   137687    0.601    0.000    1.254    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:750(__init__)
   359538    0.598    0.000    0.599    0.000 {method 'match' of 're.Pattern' objects}
    16838    0.584    0.000    0.698    0.000 {built-in method matplotlib._path.convert_to_string}
     1020    0.571    0.001    0.571    0.001 {method 'getcolors' of 'ImagingCore' objects}
      510    0.561    0.001    0.574    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\image.py:219(_rgb_to_rgba)
94512/47766    0.561    0.000    1.803    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\units.py:164(get_converter)
   185530    0.541    0.000    2.155    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:278(to_rgba)
   118962    0.540    0.000    0.802    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:700(__hash__)
   200790    0.519    0.000    1.293    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1887(__init__)
    81201    0.511    0.000    0.511    0.000 {built-in method matplotlib._path.affine_transform}
    12486    0.507    0.000    0.557    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:311(_getdefaults)
     1020    0.505    0.000    0.609    0.001 {built-in method matplotlib._image.resample}
   251359    0.494    0.000    1.048    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:219(_is_nth_color)
    88574    0.490    0.000    0.666    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:89(_scale_dashes)
  1507856    0.474    0.000    0.474    0.000 {function RcParams.__getitem__ at 0x00000215A524FBA0}
       84    0.466    0.006    0.466    0.006 {resize}
     7031    0.434    0.000   11.562    0.002 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:59(__init__)
18614/6542    0.433    0.000    5.266    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1195(_set_lim)
282387/282369    0.431    0.000    0.959    0.000 {built-in method builtins.any}
  1185642    0.426    0.000    0.436    0.000 {built-in method builtins.hasattr}
107909/107825    0.423    0.000    1.300    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:259(_reconstruct)
    71245    0.415    0.000    0.899    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:38(_wrapit)
      690    0.410    0.001    1.481    0.002 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:1196(__call__)
   801302    0.405    0.000    0.767    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:63(__iter__)
61791/52071    0.401    0.000    2.062    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
1703826/1649012    0.392    0.000    0.450    0.000 {built-in method builtins.len}
   388961    0.370    0.000    2.434    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:414(pchanged)
    62492    0.370    0.000    0.565    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:3015(_update_from)
    27429    0.368    0.000    3.477    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\patches.py:800(get_patch_transform)
     6370    0.364    0.000    2.567    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\ticker.py:2159(_raw_ticks)
    81337    0.355    0.000    0.517    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2041(scale)
   218482    0.352    0.000    1.027    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:102(_stale_axes_callback)
    31880    0.348    0.000    0.496    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2838(nonsingular)
460807/441577    0.341    0.000    2.430    0.000 {built-in method builtins.next}
      756    0.340    0.000    0.486    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\skimage\measure\_find_contours.py:10(find_contours)
     2450    0.340    0.000    0.340    0.000 {built-in method nt.stat}
    25675    0.337    0.000    0.428    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_shape_base_impl.py:625(column_stack)
    90477    0.336    0.000    4.489    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
26897/23861    0.323    0.000    1.840    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1109(get_points)
    12486    0.323    0.000    9.435    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:396(_plot_args)
   463623    0.322    0.000    0.474    0.000 {built-in method _abc._abc_instancecheck}
 44615/45    0.317    0.000   65.269    1.450 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:53(draw_wrapper)
    26006    0.303    0.000    3.221    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:157(_reset_visual_defaults)
   395191    0.303    0.000    0.442    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_function_base_impl.py:363(iterable)
    56419    0.302    0.000    3.919    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\markers.py:299(_set_marker)
    10963    0.298    0.000    6.962    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:738(draw)
    89618    0.297    0.000    7.272    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:872(output)
    15554    0.296    0.000    0.313    0.000 {built-in method matplotlib._path.update_path_extents}
195999/191193    0.289    0.000    1.276    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:141(__exit__)
   259376    0.285    0.000    0.438    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\enum.py:669(__call__)
    35973    0.283    0.000    0.882    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backend_bases.py:680(__init__)
   184542    0.279    0.000    2.064    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:596(write)
    24842    0.279    0.000    5.065    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:784(set_clip_path)
    43125    0.276    0.000    0.487    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1973(rotate)
    60439    0.275    0.000    2.825    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:890(<dictcomp>)
    85040    0.271    0.000    0.756    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2342(__init__)
    32120    0.269    0.000    1.363    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:2624(_process_unit_info)
   126928    0.268    0.000    0.696    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1309(set_ydata)
   746356    0.267    0.000    0.267    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:891(<genexpr>)
   154183    0.266    0.000    2.668    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:871(get_siblings)
     4715    0.264    0.000    0.538    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\numeric.py:2371(isclose)
   234457    0.262    0.000    1.917    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:156(invalidate)
   312439    0.261    0.000    0.367    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\enum.py:188(__get__)
   119484    0.259    0.000    0.717    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:2368(_unpack_to_numpy)
   193355    0.258    0.000    0.258    0.000 {method 'write' of '_io.BufferedWriter' objects}
44857/30393    0.257    0.000    1.830    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:366(bounds)
    89618    0.256    0.000    4.159    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:873(<listcomp>)
  1041194    0.256    0.000    0.256    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:292(axes)
   131314    0.255    0.000    0.255    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    55405    0.252    0.000    0.399    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:876(set_size)
  1152013    0.251    0.000    0.251    0.000 {method 'append' of 'list' objects}
   105302    0.251    0.000    0.344    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\descriptors\sequence.py:24(__set__)
    18504    0.248    0.000    0.549    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:325(_to_rgba_no_colorcycle)
   463623    0.248    0.000    0.722    0.000 <frozen abc>:117(__instancecheck__)
     2566    0.248    0.000    0.441    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:1050(__call__)
    88447    0.247    0.000    1.028    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:66(_wrapreduction)
    33670    0.246    0.000    0.541    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1158(set_linestyle)
     4713    0.245    0.000   15.780    0.003 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:1276(_update_ticks)
    58089    0.236    0.000    1.644    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:805(from_extents)
    26728    0.235    0.000    1.099    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\ma\core.py:2872(__new__)
   195999    0.233    0.000    1.155    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:284(helper)
   100789    0.231    0.000    0.444    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1217(_set_markercolor)
     3088    0.229    0.000    0.419    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_arraysetops_impl.py:806(_isin)
    12207    0.228    0.000    5.000    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\text.py:926(get_window_extent)
    47732    0.227    0.000    1.098    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\markers.py:250(_recache)
   197703    0.225    0.000    0.337    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\descriptors\base.py:39(__set__)
   151730    0.223    0.000    0.447    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\figure.py:65(_stale_figure_callback)
    97231    0.222    0.000    1.158    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2499(composite_transform_factory)
26145/8771    0.220    0.000    2.256    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\copy.py:227(_deepcopy_dict)
     3808    0.219    0.000    4.071    0.001 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:2330(draw_text)
     7224    0.219    0.000    0.294    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\cycler\__init__.py:416(by_key)
    32465    0.216    0.000    1.105    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\font_manager.py:656(__init__)
       85    0.208    0.002    3.080    0.036 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\openpyxl\reader\strings.py:10(read_string_table)
     1278    0.207    0.000    4.218    0.003 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:1725(_writeImg)
114378/109278    0.205    0.000    6.175    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\artist.py:1237(set)
    94512    0.203    0.000    0.460    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\cbook.py:1705(_safe_first_finite)
    12152    0.203    0.000    1.895    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:302(_apply_params)
      510    0.201    0.000    3.345    0.007 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\image.py:337(_make_image)
538253/536993    0.200    0.000    0.538    0.000 {built-in method builtins.setattr}
81201/78668    0.195    0.000    0.954    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1849(transform_affine)
195999/191193    0.189    0.000    1.565    0.000 C:\Users\MaximilienVERDIER-PA\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
    35126    0.188    0.000    2.298    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:1473(transform)
    36264    0.187    0.000    2.710    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\path.py:99(__init__)
   183363    0.185    0.000    0.185    0.000 {built-in method numpy.asanyarray}
     4080    0.185    0.000    1.120    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\colors.py:2254(__call__)
    90535    0.184    0.000    0.224    0.000 {method '__reduce_ex__' of 'object' objects}
    24175    0.182    0.000    0.188    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:446(_broadcast_shape)
    23404    0.181    0.000    1.332    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\_text_helpers.py:46(layout)
    64501    0.180    0.000    0.506    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\lines.py:1290(set_xdata)
    22111    0.179    0.000    6.690    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:1961(check_gc)
     5943    0.177    0.000    0.194    0.000 {built-in method matplotlib._path.cleanup_path}
    39268    0.176    0.000    0.527    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axes\_base.py:3733(_validate_converted_limits)
32244/28124    0.175    0.000    0.365    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\spines.py:346(get_spine_transform)
    82080    0.174    0.000    1.172    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\units.py:56(_is_natively_supported)
146777/95077    0.172    0.000    0.565    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\transforms.py:2371(_invalidate_internal)
   406010    0.171    0.000    0.171    0.000 {method 'update' of 'dict' objects}
   782458    0.170    0.000    0.170    0.000 {method 'values' of 'dict' objects}
    45419    0.169    0.000    0.431    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\axis.py:711(_get_axis_name)
   186351    0.169    0.000    2.093    0.000 C:\Users\MaximilienVERDIER-PA\Documents\Programmation\PG_simulation\.venv\Lib\site-packages\matplotlib\backends\backend_pdf.py:866(write)
